"Node id (0-based)","[0] vertex (==1)","[1] degree","[2] 2-path","[3] bifork","[4] 3-cycle"
839,1,16,174,92,28
840,1,10,88,34,11
841,1,17,154,102,34
842,1,11,102,41,14
843,1,17,152,117,19
844,1,11,109,46,9
845,1,18,157,94,59
846,1,10,95,32,13
847,1,16,120,79,41
848,1,7,28,10,11
849,1,8,33,7,21
850,1,18,131,90,63
851,1,6,26,9,6
852,1,7,55,17,4
853,1,3,33,2,1
854,1,10,64,23,22
855,1,5,54,7,3
856,1,14,170,53,38
857,1,1,5,0,0
858,1,8,96,15,13
859,1,1,0,0,0
860,1,11,102,41,14
861,1,1,0,0,0
862,1,22,242,174,57
863,1,23,209,163,90
864,1,7,57,16,5
865,1,12,136,52,14
866,1,17,152,99,37
867,1,24,310,192,84
868,1,13,128,39,39
869,1,3,6,2,1
870,1,17,212,107,29
871,1,20,230,148,42
872,1,6,48,13,2
873,1,4,21,4,2
874,1,5,28,8,2
875,1,3,14,2,1
876,1,14,94,77,14
877,1,15,151,72,33
878,1,15,161,66,39
879,1,4,10,6,0
880,1,13,70,40,38
881,1,12,80,30,36
882,1,14,75,49,42
883,1,14,89,52,39
884,1,16,71,68,52
885,1,15,98,67,38
886,1,18,126,111,42
887,1,14,89,53,38
888,1,12,59,28,38
889,1,15,85,63,42
890,1,7,30,14,7
891,1,8,65,21,7
892,1,12,62,55,11
893,1,9,56,28,8
894,1,8,35,20,8
895,1,7,50,17,4
896,1,7,61,20,1
897,1,6,37,9,6
898,1,9,61,28,8
899,1,9,60,29,7
900,1,10,79,35,10
901,1,12,84,52,14
902,1,6,39,13,2
903,1,12,71,55,11
904,1,5,30,8,2
905,1,9,53,29,7
906,1,7,50,19,2
907,1,1,3,0,0
908,1,13,135,56,22
909,1,15,131,80,25
910,1,6,33,13,2
911,1,12,81,45,21
912,1,13,108,47,31
913,1,5,31,9,1
914,1,13,115,68,10
915,1,9,73,32,4
916,1,13,112,59,19
917,1,11,87,42,13
918,1,15,139,74,31
919,1,12,123,28,38
920,1,13,88,57,21
921,1,16,133,99,21
922,1,21,240,150,60
923,1,12,92,49,17
924,1,14,95,75,16
925,1,17,152,103,33
926,1,9,65,8,28
927,1,8,48,22,6
928,1,10,43,24,21
